Modelo,Acurácia,Precisão,Recall,F1-Score,CV Mean,CV Std
Random Forest,0.9457950065703022,0.946088289526967,0.9457950065703022,0.9459352663860274,0.9435211267605632,0.0024957810065731447
Gradient Boosting,0.9408672798948752,0.9412996800662686,0.9408672798948752,0.9408877195309415,0.938450704225352,0.003260799127546538
Decision Tree,0.914257555847569,0.9144557729198887,0.914257555847569,0.9143545251206938,0.906338028169014,0.00962498566944781
SVM (Linear),0.9139290407358739,0.9159644336218282,0.9139290407358739,0.9140924159573224,0.9045070422535211,0.007050699161004963
Logistic Regression,0.911957950065703,0.9131188865551436,0.911957950065703,0.9121292379394711,0.9049295774647887,0.006885581161453691
SVM (RBF),0.9067017082785808,0.9078290416516976,0.9067017082785808,0.9067084476632017,0.8959154929577465,0.003737042017301854
K-Nearest Neighbors,0.8915900131406045,0.8924586162272452,0.8915900131406045,0.8919471121718804,0.8818309859154929,0.004615766086809555
Naive Bayes,0.8163600525624178,0.8439149895864657,0.8163600525624178,0.7943240124167158,0.8109859154929577,0.005661901758377958
